roll_no,name,section,password,email,gender,contact,dob,address
2111cs030091,Aarav Gupta,data science,Aarav123,2111cs030091@mallareddyuniversity.ac.in,Male,9837461520,14-11-2003,"Plot No. 123, Jubilee Hills, Hyderabad, India"
2111cs030092,Aishwarya Joshi,data science,Aishwarya123,2111cs030092@mallareddyuniversity.ac.in,Female,7561892743,26-06-2004,"Plot No. 456, Banjara Hills, Hyderabad, India"
2111cs030093,Rishitha,data science,Rishitha123,2111cs030093@mallareddyuniversity.ac.in,Female,8675309125,02-03-2002,"Plot No. 789, Hitech City, Hyderabad, India"
2111cs030094,Amit Mehra,data science,Amit123,2111cs030094@mallareddyuniversity.ac.in,Male,9246178530,18-09-2003,"Plot No. 321, Gachibowli, Hyderabad, India"
2111cs030095,Ananya Pandey,data science,Ananya123,2111cs030095@mallareddyuniversity.ac.in,Female,7102938654,31-05-2004,"Plot No. 654, Kondapur, Hyderabad, India"
2111cs030096,Bharat,data science,Bharat123,2111cs030096@mallareddyuniversity.ac.in,Male,8092753614,07-08-2002,"Plot No. 987, Madhapur, Hyderabad, India"
2111cs030097,Arjun Rao,data science,Arjun123,2111cs030097@mallareddyuniversity.ac.in,Male,6351892740,23-12-2003,"Plot No. 147, Ameerpet, Hyderabad, India"
2111cs030098,Divya Sharma,data science,Divya123,2111cs030098@mallareddyuniversity.ac.in,Female,9764208315,10-02-2002,"Plot No. 258, Miyapur, Hyderabad, India"
2111cs030099,Sai daragani,data science,Sai123,2111cs030099@mallareddyuniversity.ac.in,Male,8410569372,29-07-2004,"Plot No. 369, Kukatpally, Hyderabad, India"
2111cs030100,Isha Verma,data science,Isha123,2111cs030100@mallareddyuniversity.ac.in,Female,7321596840,05-04-2003,"Plot No. 852, Begumpet, Hyderabad, India"
2111cs030101,Ravi Gupta,data science,Ravi123,2111cs030101@mallareddyuniversity.ac.in,Male,8154739062,19-10-2004,"Plot No. 963, Jubilee Hills, Hyderabad, India"
2111cs030102,Deepika Joshi,data science,Deepika123,2111cs030102@mallareddyuniversity.ac.in,Female,6948015723,30-01-2002,"Plot No. 741, Banjara Hills, Hyderabad, India"
2111cs030103,Rahul Kumar,data science,Rahul123,2111cs030103@mallareddyuniversity.ac.in,Male,9274615038,16-08-2003,"Plot No. 852, Hitech City, Hyderabad, India"
2111cs030104,Sai reddy,data science,Sai123,2111cs030104@mallareddyuniversity.ac.in,Male,6873059241,28-03-2004,"Plot No. 147, Gachibowli, Hyderabad, India"
2111cs030105,Saisaketh,data science,Saisaketh123,2111cs030105@mallareddyuniversity.ac.in,Male,9127643508,04-09-2002,"Plot No. 369, Kondapur, Hyderabad, India"
2111cs030106,Gowtham,data science,Gowtham123,2111cs030106@mallareddyuniversity.ac.in,Male,7436192085,20-01-2003,"Plot No. 258, Madhapur, Hyderabad, India"
2111cs030107,Suman Rao,data science,Suman123,2111cs030107@mallareddyuniversity.ac.in,Female,8563941702,09-07-2004,"Plot No. 654, Ameerpet, Hyderabad, India"
2111cs030108,Sanjay Sharma,data science,Sanjay123,2111cs030108@mallareddyuniversity.ac.in,Male,9316784250,15-05-2002,"Plot No. 852, Miyapur, Hyderabad, India"
2111cs030109,Rajesh Singh,data science,Rajesh123,2111cs030109@mallareddyuniversity.ac.in,Male,6785143029,27-12-2003,"Plot No. 741, Kukatpally, Hyderabad, India"
2111cs030110,Kavita Verma,data science,Kavita123,2111cs030110@mallareddyuniversity.ac.in,Female,9047258361,13-11-2004,"Plot No. 963, Begumpet, Hyderabad, India"
2111cs030111,Aditya Gupta,data science,Aditya123,2111cs030111@mallareddyuniversity.ac.in,Male,5276839401,25-06-2002,"Plot No. 963, Mehdipatnam, Hyderabad, India"
2111cs030112,Smita Joshi,data science,Smita123,2111cs030112@mallareddyuniversity.ac.in,Female,7695104328,01-03-2003,"Plot No. 852, Nampally, Hyderabad, India"
2111cs030113,Satwika,data science,Satwika123,2111cs030113@mallareddyuniversity.ac.in,Female,8429607315,17-09-2004,"Plot No. 741, Charminar, Hyderabad, India"
2111cs030114,Nisha Mehra,data science,Nisha123,2111cs030114@mallareddyuniversity.ac.in,Female,5938472610,30-05-2002,"Plot No. 369, Secunderabad, Hyderabad, India"
2111cs030115,Manish Pandey,data science,Manish123,2111cs030115@mallareddyuniversity.ac.in,Male,4079321586,06-08-2003,"Plot No. 258, Habsiguda, Hyderabad, India"
2111cs030116,Priya Patel,data science,Priya123,2111cs030116@mallareddyuniversity.ac.in,Female,9257083461,22-12-2004,"Plot No. 654, Uppal, Hyderabad, India"
2111cs030117,Sujata Rao,data science,Sujata123,2111cs030117@mallareddyuniversity.ac.in,Female,6702839514,09-02-2002,"Plot No. 963, Dilsukhnagar, Hyderabad, India"
2111cs030118,Rajat Sharma,data science,Rajat123,2111cs030118@mallareddyuniversity.ac.in,Male,8319476052,28-07-2003,"Plot No. 741, Malakpet, Hyderabad, India"
2111cs030119,Pooja Singh,data science,Pooja123,2111cs030119@mallareddyuniversity.ac.in,Female,5792083461,03-04-2004,"Plot No. 852, Tarnaka, Hyderabad, India"
2111cs030120,Shivasai Chandra,data science,Shivasai123,2111cs030120@mallareddyuniversity.ac.in,Male,7631852094,19-10-2002,"Plot No. 147, Kompally, Hyderabad, India"
2111cs030121,Shivam singh,data science,Shivam123,2111cs030121@mallareddyuniversity.ac.in,Male,9247350168,31-01-2003,"Plot No. 369, Shamirpet, Hyderabad, India"
2111cs030122,Swati Joshi,data science,Swati123,2111cs030122@mallareddyuniversity.ac.in,Female,6854139027,17-08-2004,"Plot No. 963, Ghatkesar, Hyderabad, India"
